year,country,co2,co2_per_capita,trade_co2,coal_co2,cement_co2,oil_co2,gas_co2,gas_co2_per_capita,co2_growth_prct,share_global_co2
1996,Afghanistan,1.165,0.062,,0.007,0.047,0.78,0.308,0.016,-5.33,0.0
1997,Afghanistan,1.084,0.056,,0.004,0.047,0.728,0.283,0.015,-6.94,0.0
1998,Afghanistan,1.029,0.052,,0.004,0.047,0.691,0.265,0.013,-5.07,0.0
1999,Afghanistan,0.81,0.04,,0.004,0.047,0.495,0.242,0.012,-21.34,0.0
2000,Afghanistan,0.758,0.036,,0.004,0.01,0.498,0.224,0.011,-6.4,0.0
2001,Afghanistan,0.798,0.037,,0.07,0.007,0.491,0.209,0.01,5.32,0.0
2002,Afghanistan,1.052,0.046,,0.055,0.011,0.44,0.546,0.024,31.79,0.0
2003,Afghanistan,1.186,0.05,,0.092,0.01,0.619,0.465,0.02,12.77,0.0
2004,Afghanistan,0.889,0.036,,0.092,0.01,0.561,0.227,0.009,-25.02,0.0
2005,Afghanistan,1.303,0.051,,0.106,0.006,0.861,0.33,0.013,46.57,0.0
2006,Afghanistan,1.635,0.062,,0.161,0.012,1.133,0.329,0.012,25.48,0.01
2007,Afghanistan,2.269,0.084,,0.749,0.012,1.2,0.308,0.011,38.72,0.01
2008,Afghanistan,4.2,0.152,,1.077,0.015,2.81,0.297,0.011,85.12,0.01
2009,Afghanistan,6.74,0.237,,1.513,0.013,4.943,0.271,0.01,60.49,0.02
2010,Afghanistan,8.398,0.288,,2.246,0.015,5.866,0.271,0.009,24.6,0.03
2011,Afghanistan,12.106,0.402,,4.181,0.015,7.603,0.308,0.01,44.15,0.04
2012,Afghanistan,10.219,0.328,,3.125,0.029,6.756,0.308,0.01,-15.59,0.03
2013,Afghanistan,8.441,0.262,,3.327,0.036,4.782,0.297,0.009,-17.4,0.02
2014,Afghanistan,7.774,0.233,,3.704,0.029,3.77,0.271,0.008,-7.9,0.02
2015,Afghanistan,7.904,0.23,,2.843,0.041,4.738,0.282,0.008,1.67,0.02
2016,Afghanistan,6.745,0.191,,2.878,0.076,3.472,0.319,0.009,-14.67,0.02
2017,Afghanistan,6.86,0.189,,3.448,0.045,3.067,0.3,0.008,1.71,0.02
2018,Afghanistan,8.345,0.224,,3.849,0.057,4.146,0.293,0.008,21.65,0.02
2019,Afghanistan,12.147,0.319,,7.531,0.038,4.272,0.306,0.008,45.56,0.03
2020,Afghanistan,12.16,0.312,,7.508,0.061,4.277,0.314,0.008,0.11,0.03
1884,Africa,0.022,0.005,,0.022,,,,,,0.0
1885,Africa,0.037,0.008,,0.037,,,,,66.67,0.0
1886,Africa,0.048,0.01,,0.048,,,,,30.0,0.0
1887,Africa,0.048,0.01,,0.048,,,,,0.0,0.0
1888,Africa,0.081,0.017,,0.081,,,,,69.23,0.01
1889,Africa,0.132,0.028,,0.132,,,,,63.64,0.01
1890,Africa,0.297,0.062,,0.297,,,,,125.0,0.02
1891,Africa,0.297,0.062,,0.297,,,,,0.0,0.02
1892,Africa,0.48,0.099,,0.48,,,,,61.73,0.04
1893,Africa,1.799,0.366,,1.799,,,,,274.81,0.13
1894,Africa,2.433,0.49,,2.433,,,,,35.23,0.17
1895,Africa,3.338,0.664,,3.338,,,,,37.2,0.22
1896,Africa,4.258,0.838,,4.258,,,,,27.55,0.28
1897,Africa,4.778,0.93,,4.778,,,,,12.22,0.3
1898,Africa,6.049,1.164,,6.049,,,,,26.61,0.36
1899,Africa,5.518,1.048,,5.518,,,,,-8.78,0.3
1900,Africa,2.33,0.436,,2.33,,,,,-57.77,0.12
1901,Africa,3.909,0.721,,3.909,,,,,67.77,0.19
1902,Africa,5.826,1.057,,5.826,,,,,49.02,0.28
1903,Africa,7.896,1.169,,7.896,,,,,35.53,0.35
1904,Africa,8.911,1.296,,8.911,,,,,12.85,0.39
1905,Africa,10.263,1.467,,10.263,,,,,15.17,0.42
1906,Africa,11.717,1.646,,11.717,,,,,14.17,0.46
1907,Africa,12.93,1.785,,12.93,,,,,10.35,0.45
1908,Africa,13.403,1.819,,13.403,,,,,3.66,0.48
1909,Africa,15.385,2.052,,15.385,,,,,14.79,0.53
1910,Africa,17.411,2.283,,17.411,,,,,13.17,0.58
1911,Africa,16.865,0.892,,16.854,,0.011,,,-3.14,0.55
1912,Africa,17.954,0.937,,17.869,,0.084,,,6.45,0.56
1913,Africa,19.606,1.01,,19.566,,0.04,,,9.2,0.56
1914,Africa,19.551,0.994,,19.243,,0.308,,,-0.28,0.62
1915,Africa,19.606,0.466,,19.514,,0.092,,,0.28,0.63
1916,Africa,23.255,0.461,,23.072,,0.183,,,18.61,0.69
1917,Africa,25.344,0.497,,24.919,,0.425,,,8.98,0.72
1918,Africa,24.725,0.48,,23.856,,0.868,,,-2.44,0.71
1919,Africa,25.443,0.511,,24.751,,0.692,,,2.9,0.84
1920,Africa,28.052,0.461,,27.594,,0.458,,,10.25,0.8
1921,Africa,27.986,0.454,,27.425,,0.561,,,-0.24,0.91
1922,Africa,23.97,0.399,,23.435,,0.534,,,-14.35,0.74
1923,Africa,29.045,0.477,,28.572,,0.473,,,21.17,0.79
1924,Africa,30.631,0.496,,30.126,,0.505,,,5.46,0.83
1925,Africa,32.185,0.513,,31.624,,0.561,,,5.07,0.87
1926,Africa,34.438,0.541,,33.903,,0.535,,,7.0,0.94
1927,Africa,33.841,0.492,,33.269,,0.572,,,-1.73,0.85
1928,Africa,34.77,0.457,,33.815,0.127,0.828,,,2.75,0.88
1929,Africa,35.802,0.464,,34.59,0.366,0.846,,,2.97,0.84
1930,Africa,33.696,0.43,,32.555,0.261,0.88,,,-5.88,0.86
1931,Africa,29.464,0.37,,28.307,0.266,0.89,,,-12.56,0.84
1932,Africa,26.623,0.329,,25.355,0.432,0.835,,,-9.64,0.84
1933,Africa,28.491,0.324,,27.29,0.464,0.736,,,7.02,0.86
1934,Africa,32.539,0.364,,31.324,0.534,0.682,,,14.21,0.9
1935,Africa,35.91,0.396,,34.743,0.61,0.557,,,10.36,0.95
1936,Africa,39.016,0.439,,37.765,0.691,0.561,,,8.65,0.94
1937,Africa,41.844,0.464,,40.582,0.727,0.535,,,7.25,0.94
1938,Africa,44.013,0.48,,42.56,0.75,0.703,,,5.18,1.05
1939,Africa,46.853,0.499,,43.957,0.73,2.056,0.11,0.001,6.45,1.06
1940,Africa,49.649,0.52,,46.039,0.653,2.865,0.092,0.001,5.97,1.02
1941,Africa,54.023,0.47,,49.442,0.72,3.763,0.099,0.001,8.81,1.09
1942,Africa,58.823,0.504,,54.304,0.77,3.642,0.106,0.001,8.88,1.19
1943,Africa,60.12,0.507,,55.237,0.809,3.957,0.117,0.001,2.2,1.2
1944,Africa,66.633,0.649,,61.371,0.969,4.162,0.131,0.001,10.83,1.31
1945,Africa,67.527,0.628,,62.303,0.937,4.151,0.136,0.001,1.34,1.59
1946,Africa,68.159,0.644,,62.938,1.144,3.942,0.135,0.001,0.94,1.47
1947,Africa,67.935,0.609,,62.415,1.281,4.104,0.136,0.001,-0.33,1.32
1948,Africa,71.733,0.545,,64.359,1.424,5.811,0.139,0.001,5.59,1.33
1949,Africa,77.324,0.577,,68.58,1.532,7.072,0.14,0.001,7.79,1.47
1950,Africa,93.452,0.474,,68.711,2.014,22.723,0.004,0.0,20.86,1.56
1951,Africa,99.862,0.496,,72.305,2.269,25.284,0.004,0.0,6.86,1.57
1952,Africa,108.882,0.529,,78.939,2.327,27.609,0.007,0.0,9.03,1.68
1953,Africa,110.796,0.527,,78.902,2.637,29.242,0.015,0.0,1.76,1.67
1954,Africa,116.157,0.541,,81.608,3.041,31.486,0.022,0.0,4.84,1.71
1955,Africa,128.058,0.583,,91.598,3.409,33.03,0.022,0.0,10.25,1.72
1956,Africa,133.509,0.594,,95.502,3.517,34.461,0.029,0.0,4.26,1.68
1957,Africa,139.953,0.608,,99.296,3.681,36.955,0.022,0.0,4.83,1.71
1958,Africa,148.305,0.58,,103.144,3.989,41.153,0.018,0.0,5.97,1.76
1959,Africa,147.911,0.54,,101.676,4.189,42.011,0.035,0.0,-0.27,1.67
1960,Africa,156.64,0.559,,103.522,4.399,48.672,0.047,0.0,5.9,1.67
1961,Africa,162.079,0.565,,105.003,4.3,52.277,0.498,0.002,3.47,1.72
1962,Africa,166.426,0.567,,106.668,4.461,54.557,0.74,0.002,2.68,1.71
1963,Africa,176.448,0.586,,109.186,4.798,60.599,0.718,0.002,6.02,1.72
1964,Africa,193.764,0.627,,115.604,5.318,69.514,1.451,0.005,9.81,1.79
1965,Africa,213.785,0.675,,124.891,5.691,76.132,2.123,0.007,10.33,1.89
1966,Africa,221.262,0.681,,123.843,5.841,84.024,2.36,0.007,3.5,1.86
1967,Africa,237.258,0.712,,127.101,5.964,81.11,2.319,0.007,7.23,1.94
1968,Africa,257.6,0.754,,132.504,6.857,86.208,2.364,0.007,8.57,2.0
1969,Africa,278.139,0.794,,135.191,7.895,93.837,2.89,0.008,7.97,2.02
1970,Africa,302.943,0.843,,140.097,8.596,98.498,0.816,0.002,8.92,2.03
1971,Africa,332.206,0.9,,149.906,9.245,115.386,1.693,0.005,9.66,2.14
1972,Africa,352.242,0.928,,153.924,9.765,119.489,4.414,0.012,6.03,2.17
1973,Africa,378.427,0.972,,154.291,10.334,128.435,5.36,0.014,7.43,2.22
1974,Africa,388.873,0.972,,157.241,10.811,134.347,5.111,0.013,2.76,2.29
1975,Africa,387.839,0.944,,162.187,10.938,143.982,6.422,0.016,-0.27,2.28
1976,Africa,420.868,0.997,,171.906,11.198,151.079,8.885,0.021,8.52,2.34
1977,Africa,433.857,1.0,,176.693,11.93,160.015,13.669,0.032,3.09,2.35
1978,Africa,463.282,1.038,,178.676,12.591,165.874,34.434,0.077,6.78,2.43
1979,Africa,500.009,1.089,,197.363,13.488,181.782,19.657,0.043,7.93,2.55
1980,Africa,536.51,1.137,,212.398,14.691,198.541,34.632,0.073,7.3,2.75
1981,Africa,549.389,1.132,,237.34,15.963,214.146,29.401,0.061,2.4,2.89
1982,Africa,572.603,1.146,,250.232,17.035,236.401,23.985,0.048,4.23,3.03
1983,Africa,595.441,1.159,,260.943,18.71,244.078,30.431,0.059,3.99,3.13
1984,Africa,650.285,1.23,,286.063,19.426,251.663,47.57,0.09,9.21,3.31
1985,Africa,666.684,1.226,,294.697,19.124,252.614,48.848,0.09,2.52,3.28
1986,Africa,690.7,1.235,,305.787,18.342,255.195,58.357,0.104,3.6,3.35
1987,Africa,690.794,1.201,,312.518,19.937,245.605,67.872,0.118,0.01,3.25
1988,Africa,726.048,1.228,,322.719,21.575,263.569,68.952,0.117,5.1,3.29
1989,Africa,699.221,1.15,,313.482,22.543,269.746,71.403,0.118,-3.69,3.12
1990,Africa,659.295,1.052,-203.224,295.76,22.801,243.984,75.954,0.121,-5.71,2.9
1991,Africa,689.026,1.068,-213.043,306.508,24.426,258.828,78.466,0.122,4.51,2.97
1992,Africa,668.677,1.01,-183.457,288.587,24.904,257.562,74.273,0.112,-2.95,2.96
1993,Africa,708.858,1.043,-208.188,318.855,24.609,261.882,81.722,0.12,6.01,3.11
1994,Africa,719.623,1.029,-215.113,330.702,25.111,256.425,85.588,0.122,1.52,3.13
1995,Africa,771.994,1.077,-243.635,346.864,27.083,272.393,101.557,0.142,7.28,3.29
1996,Africa,783.254,1.066,-260.589,353.13,27.681,270.637,108.019,0.147,1.46,3.24
1997,Africa,812.903,1.079,-255.582,360.837,28.35,305.117,95.205,0.126,3.79,3.35
1998,Africa,838.022,1.085,-264.655,355.514,29.203,317.632,112.712,0.146,3.09,3.46
1999,Africa,830.397,1.05,-233.158,366.523,30.311,295.618,114.377,0.145,-0.91,3.39
2000,Africa,886.562,1.094,-266.512,370.247,31.51,315.173,114.35,0.141,6.76,3.51
2001,Africa,884.168,1.064,-275.648,371.98,32.908,301.105,120.126,0.145,-0.27,3.47
2002,Africa,892.575,1.049,-292.434,361.119,35.231,290.358,134.359,0.158,0.95,3.43
2003,Africa,967.22,1.109,-298.849,390.893,35.508,328.515,145.785,0.167,8.36,3.53
2004,Africa,1036.686,1.16,-320.442,417.515,38.17,351.532,152.691,0.171,7.18,3.62
2005,Africa,1057.342,1.155,-320.873,412.792,41.9,343.361,183.64,0.2,1.99,3.57
2006,Africa,1090.195,1.161,-329.516,419.148,45.788,372.359,179.347,0.191,3.11,3.56
2007,Africa,1132.293,1.176,-332.263,430.406,48.967,384.245,192.326,0.2,3.86,3.6
2008,Africa,1181.391,1.197,-347.099,454.72,51.222,408.335,195.084,0.198,4.34,3.68
2009,Africa,1191.035,1.176,-338.596,443.29,57.625,437.642,191.718,0.189,0.82,3.77
2010,Africa,1218.023,1.172,-356.829,441.757,59.085,450.94,201.912,0.194,2.27,3.65
2011,Africa,1258.709,1.181,-364.151,432.931,58.875,487.086,221.731,0.208,3.34,3.65
2012,Africa,1253.144,1.146,-346.813,429.56,63.528,466.622,234.038,0.214,-0.44,3.58
2013,Africa,1260.316,1.123,-297.2,427.34,65.929,473.454,236.615,0.211,0.57,3.57
2014,Africa,1363.5,1.184,-358.12,455.167,69.852,534.641,246.717,0.214,8.19,3.84
2015,Africa,1322.735,1.119,-333.37,428.573,73.106,512.896,253.844,0.215,-2.99,3.73
2016,Africa,1356.719,1.119,-338.433,434.484,77.335,531.115,266.183,0.22,2.57,3.83
2017,Africa,1384.372,1.113,-358.402,439.67,76.797,534.341,284.093,0.228,2.04,3.85
2018,Africa,1385.645,1.086,-362.569,450.509,79.893,521.988,288.797,0.226,0.09,3.78
2019,Africa,1408.479,1.077,-373.726,464.561,78.56,529.216,291.682,0.223,1.65,3.84
2020,Africa,1326.044,0.99,,446.097,77.025,471.446,287.016,0.214,-5.85,3.81
1933,Albania,0.007,0.007,,,,0.007,,,,0.0
1934,Albania,0.007,0.007,,,,0.007,,,0.0,0.0
1935,Albania,0.018,0.017,,,,0.018,,,150.0,0.0
1936,Albania,0.128,0.12,,,0.004,0.125,,,600.0,0.0
1937,Albania,0.297,0.276,,,0.007,0.289,,,131.43,0.01
1938,Albania,0.348,0.32,,,,0.348,,,17.28,0.01
1939,Albania,0.432,0.394,,,,0.432,,,24.21,0.01
1940,Albania,0.692,0.624,,,,0.692,,,60.17,0.01
1941,Albania,0.627,0.558,,,0.007,0.619,,,-9.52,0.01
1942,Albania,0.744,0.655,,,,0.744,,,18.71,0.02
1943,Albania,0.462,0.402,,,,0.462,,,-37.93,0.01
1944,Albania,0.154,0.132,,,,0.154,,,-66.67,0.0
1945,Albania,0.121,0.103,,,,0.121,,,-21.43,0.0
1946,Albania,0.484,0.406,,0.022,,0.462,,,300.0,0.01
1947,Albania,0.927,0.768,,,,0.927,,,91.67,0.02
1948,Albania,0.703,0.576,,0.007,,0.696,,,-24.11,0.01
1949,Albania,1.015,0.819,,,,1.015,,,44.27,0.02
1950,Albania,0.297,0.235,,0.043,0.007,0.246,,,-70.76,0.0
1951,Albania,0.403,0.313,,0.073,0.007,0.311,0.011,0.008,35.8,0.01
1952,Albania,0.374,0.284,,0.076,0.007,0.279,0.011,0.008,-7.27,0.01
1953,Albania,0.414,0.307,,0.114,0.007,0.275,0.018,0.014,10.78,0.01
1954,Albania,0.502,0.363,,0.158,0.007,0.308,0.029,0.021,21.24,0.01
1955,Albania,0.663,0.467,,0.22,0.022,0.385,0.037,0.026,32.12,0.01
1956,Albania,0.839,0.575,,0.249,0.033,0.509,0.048,0.033,26.52,0.01
1957,Albania,1.506,1.004,,0.275,0.037,1.136,0.059,0.039,79.48,0.02
1958,Albania,1.202,0.779,,0.289,0.04,0.806,0.066,0.043,-20.19,0.01
1959,Albania,1.444,0.909,,0.337,0.037,0.993,0.077,0.048,20.12,0.02
1960,Albania,2.023,1.236,,0.326,0.037,1.576,0.084,0.052,40.1,0.02
1961,Albania,2.279,1.352,,0.322,0.059,1.814,0.084,0.05,12.68,0.02
1962,Albania,2.462,1.417,,0.363,0.059,1.957,0.084,0.048,8.04,0.03
1963,Albania,2.081,1.162,,0.282,0.066,1.649,0.084,0.047,-15.48,0.02
1964,Albania,2.015,1.093,,0.333,0.062,1.535,0.084,0.046,-3.17,0.02
1965,Albania,2.173,1.146,,0.395,0.073,1.62,0.084,0.044,7.82,0.02
1966,Albania,2.55,1.309,,0.477,0.07,1.901,0.103,0.053,17.37,0.02
1967,Albania,2.678,1.34,,0.524,0.11,1.916,0.128,0.064,5.03,0.02
1968,Albania,3.07,1.498,,0.59,0.15,2.184,0.147,0.072,14.64,0.02
1969,Albania,3.243,1.544,,0.689,0.165,2.22,0.169,0.08,5.61,0.02
1970,Albania,3.741,1.739,,0.891,0.18,2.483,0.187,0.087,15.37,0.03
1971,Albania,4.349,1.975,,0.989,0.18,2.939,0.242,0.11,16.26,0.03
1972,Albania,5.639,2.502,,1.081,0.198,4.082,0.278,0.124,29.65,0.03
1973,Albania,5.287,2.292,,1.169,0.256,3.495,0.366,0.159,-6.24,0.03
1974,Albania,4.342,1.841,,1.21,0.279,2.424,0.429,0.182,-17.88,0.03
1975,Albania,4.591,1.904,,1.26,0.322,2.455,0.553,0.229,5.74,0.03
1976,Albania,4.946,2.007,,1.272,0.348,2.655,0.671,0.272,7.74,0.03
1977,Albania,5.716,2.269,,1.699,0.373,2.944,0.699,0.278,15.56,0.03
1978,Albania,6.489,2.522,,2.126,0.4,3.285,0.678,0.264,13.53,0.03
1979,Albania,7.581,2.885,,2.681,0.421,3.772,0.707,0.269,16.83,0.04
1980,Albania,5.166,1.926,,2.323,0.498,1.572,0.773,0.288,-31.85,0.03
1981,Albania,7.335,2.68,,2.644,0.392,3.494,0.806,0.294,41.99,0.04
1982,Albania,7.302,2.617,,2.88,0.414,3.144,0.865,0.31,-0.45,0.04
1983,Albania,7.625,2.68,,3.103,0.418,3.129,0.975,0.343,4.42,0.04
1984,Albania,7.819,2.692,,3.4,0.429,2.946,1.044,0.36,2.55,0.04
1985,Albania,7.874,2.652,,3.723,0.425,2.755,0.971,0.327,0.7,0.04
1986,Albania,8.05,2.644,,3.708,0.421,2.869,1.052,0.345,2.23,0.04
1987,Albania,7.438,2.38,,3.735,0.429,2.823,0.451,0.144,-7.6,0.03
1988,Albania,7.321,2.287,,4.018,0.37,2.577,0.356,0.111,-1.58,0.03
1989,Albania,8.977,2.755,,4.056,0.377,4.096,0.447,0.137,22.62,0.04
1990,Albania,5.445,1.657,-0.009,2.499,0.308,2.173,0.465,0.142,-39.35,0.02
1991,Albania,4.228,1.289,0.279,1.48,0.245,2.228,0.275,0.084,-22.34,0.02
1992,Albania,2.495,0.769,0.348,0.8,0.081,1.416,0.198,0.061,-40.99,0.01
1993,Albania,2.316,0.725,0.288,0.6,0.08,1.478,0.157,0.049,-7.2,0.01
1994,Albania,1.913,0.608,0.399,0.169,0.04,1.605,0.099,0.031,-17.41,0.01
1995,Albania,2.066,0.664,0.407,0.161,0.081,1.773,0.051,0.016,8.05,0.01
1996,Albania,1.993,0.643,0.874,0.114,0.081,1.755,0.044,0.014,-3.55,0.01
1997,Albania,1.532,0.494,0.617,0.044,0.04,1.411,0.037,0.012,-23.16,0.01
1998,Albania,1.744,0.561,0.722,0.055,0.033,1.623,0.033,0.011,13.88,0.01
1999,Albania,2.975,0.953,0.693,0.11,0.044,2.792,0.029,0.009,70.59,0.01
2000,Albania,3.004,0.96,0.801,0.07,0.073,2.84,0.022,0.007,0.99,0.01
2001,Albania,3.221,1.029,0.862,0.081,,3.125,0.015,0.005,7.2,0.01
2002,Albania,3.748,1.199,1.308,0.084,,3.638,0.026,0.008,16.38,0.01
2003,Albania,4.232,1.357,1.185,0.084,0.231,3.891,0.026,0.008,12.9,0.02
2004,Albania,4.104,1.322,1.127,0.084,0.227,3.759,0.033,0.011,-3.03,0.01
2005,Albania,4.199,1.36,1.523,0.073,0.194,3.91,0.022,0.007,2.32,0.01
2006,Albania,3.844,1.255,1.574,0.073,0.209,3.54,0.022,0.007,-8.46,0.01
2007,Albania,3.829,1.262,1.578,0.073,0.348,3.375,0.033,0.011,-0.38,0.01
2008,Albania,4.272,1.423,1.801,0.103,0.359,3.796,0.015,0.005,11.58,0.01
2009,Albania,4.254,1.431,1.943,0.388,0.432,3.415,0.018,0.006,-0.43,0.01
2010,Albania,4.448,1.509,1.634,0.429,0.502,3.492,0.026,0.009,4.57,0.01
2011,Albania,5.031,1.718,1.282,0.535,0.692,3.774,0.029,0.01,13.1,0.01
2012,Albania,4.668,1.602,1.323,0.627,0.857,3.155,0.029,0.01,-7.21,0.01
2013,Albania,4.928,1.697,1.065,0.795,0.769,3.331,0.033,0.011,5.57,0.01
2014,Albania,5.621,1.941,0.881,1.029,0.677,3.856,0.059,0.02,14.05,0.02
2015,Albania,4.496,1.555,1.146,0.322,0.773,3.338,0.062,0.022,-20.01,0.01
2016,Albania,4.492,1.556,1.01,0.191,0.78,3.36,0.161,0.056,-0.08,0.01
2017,Albania,5.302,1.838,0.857,0.275,0.78,4.079,0.168,0.058,18.03,0.01
2018,Albania,4.734,1.642,1.072,0.473,0.78,3.331,0.15,0.052,-10.71,0.01
2019,Albania,4.863,1.688,0.988,0.549,0.78,3.379,0.155,0.054,2.74,0.01
2020,Albania,4.535,1.576,,0.461,0.78,3.14,0.153,0.053,-6.76,0.01
1916,Algeria,0.004,0.001,,,,0.004,,,,0.0
1917,Algeria,0.007,0.001,,0.004,,0.004,,,100.0,0.0
1918,Algeria,0.018,0.003,,0.015,,0.004,,,150.0,0.0
1919,Algeria,0.018,0.003,,0.015,,0.003,,,0.0,0.0
1920,Algeria,0.022,0.004,,0.018,,0.004,,,20.0,0.0
1921,Algeria,0.026,0.004,,0.026,,,,,16.67,0.0
1922,Algeria,0.026,0.004,,0.022,,0.003,,,0.0,0.0
1923,Algeria,0.015,0.002,,0.011,,0.004,,,-42.86,0.0
1924,Algeria,0.029,0.005,,0.023,,0.007,,,100.0,0.0
1925,Algeria,0.033,0.005,,0.026,,0.007,,,12.5,0.0
1926,Algeria,0.04,0.007,,0.037,,0.004,,,22.22,0.0
1927,Algeria,0.059,0.01,,0.055,,0.004,,,45.45,0.0
1928,Algeria,0.073,0.012,,0.044,0.025,0.004,,,24.65,0.0
1929,Algeria,0.08,0.013,,0.042,0.028,0.011,,,10.0,0.0
1930,Algeria,0.084,0.013,,0.044,0.033,0.007,,,4.51,0.0
1931,Algeria,0.099,0.015,,0.057,0.038,0.004,,,17.4,0.0
1932,Algeria,0.113,0.017,,0.066,0.044,0.004,,,14.81,0.0
1933,Algeria,0.121,0.018,,0.081,0.036,0.004,,,6.52,0.0
1934,Algeria,0.139,0.02,,0.092,0.047,,,,15.12,0.0
1935,Algeria,0.132,0.019,,0.1,0.032,,,,-5.19,0.0
1936,Algeria,0.051,0.007,,0.018,0.033,,,,-61.24,0.0
1937,Algeria,0.069,0.01,,0.037,0.033,,,,35.9,0.0
1938,Algeria,0.033,0.004,,0.033,,,,,-52.45,0.0
1939,Algeria,0.161,0.022,,0.051,,,0.11,0.015,388.89,0.0
1940,Algeria,0.238,0.031,,0.147,,,0.092,0.012,47.73,0.0
1941,Algeria,0.311,0.04,,0.213,,,0.099,0.013,30.77,0.01
1942,Algeria,0.498,0.063,,0.392,,,0.106,0.014,60.0,0.01
1943,Algeria,0.469,0.059,,0.311,0.04,,0.117,0.015,-5.95,0.01
1944,Algeria,0.498,0.062,,0.316,0.047,0.004,0.131,0.016,6.24,0.01
1945,Algeria,0.615,0.075,,0.429,0.051,,0.136,0.016,23.54,0.01
